timestamp,ecg,reconstructed_time
2025-11-07 23:15:46.890371,16,2025-11-07 23:15:46.890371000
2025-11-07 23:15:46.890371,3584,2025-11-07 23:15:46.898063308
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:46.905755615
2025-11-07 23:15:46.890371,19,2025-11-07 23:15:46.913447923
2025-11-07 23:15:46.890371,10240,2025-11-07 23:15:46.921140231
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:46.928832538
2025-11-07 23:15:46.890371,54,2025-11-07 23:15:46.936524846
2025-11-07 23:15:46.890371,13824,2025-11-07 23:15:46.944217154
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:46.951909462
2025-11-07 23:15:46.890371,47,2025-11-07 23:15:46.959601769
2025-11-07 23:15:46.890371,10240,2025-11-07 23:15:46.967294077
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:46.974986385
2025-11-07 23:15:46.890371,49,2025-11-07 23:15:46.982678692
2025-11-07 23:15:46.890371,15104,2025-11-07 23:15:46.990371000
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:46.998063308
2025-11-07 23:15:46.890371,54,2025-11-07 23:15:47.005755615
2025-11-07 23:15:46.890371,12032,2025-11-07 23:15:47.013447923
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.021140231
2025-11-07 23:15:46.890371,45,2025-11-07 23:15:47.028832538
2025-11-07 23:15:46.890371,10240,2025-11-07 23:15:47.036524846
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.044217154
2025-11-07 23:15:46.890371,30,2025-11-07 23:15:47.051909462
2025-11-07 23:15:46.890371,8448,2025-11-07 23:15:47.059601769
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.067294077
2025-11-07 23:15:46.890371,47,2025-11-07 23:15:47.074986385
2025-11-07 23:15:46.890371,14592,2025-11-07 23:15:47.082678692
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.090371000
2025-11-07 23:15:46.890371,64,2025-11-07 23:15:47.098063308
2025-11-07 23:15:46.890371,18176,2025-11-07 23:15:47.105755615
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.113447923
2025-11-07 23:15:46.890371,69,2025-11-07 23:15:47.121140231
2025-11-07 23:15:46.890371,15616,2025-11-07 23:15:47.128832538
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.136524846
2025-11-07 23:15:46.890371,54,2025-11-07 23:15:47.144217154
2025-11-07 23:15:46.890371,12032,2025-11-07 23:15:47.151909462
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.159601769
2025-11-07 23:15:46.890371,42,2025-11-07 23:15:47.167294077
2025-11-07 23:15:46.890371,11520,2025-11-07 23:15:47.174986385
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.182678692
2025-11-07 23:15:46.890371,47,2025-11-07 23:15:47.190371000
2025-11-07 23:15:46.890371,10240,2025-11-07 23:15:47.198063308
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.205755615
2025-11-07 23:15:46.890371,26,2025-11-07 23:15:47.213447923
2025-11-07 23:15:46.890371,-512,2025-11-07 23:15:47.221140231
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.228832538
2025-11-07 23:15:46.890371,-47,2025-11-07 23:15:47.236524846
2025-11-07 23:15:46.890371,5119,2025-11-07 23:15:47.244217154
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.251909462
2025-11-07 23:15:46.890371,318,2025-11-07 23:15:47.259601769
2025-11-07 23:15:46.890371,26112,2025-11-07 23:15:47.267294077
2025-11-07 23:15:46.890371,2,2025-11-07 23:15:47.274986385
2025-11-07 23:15:46.890371,585,2025-11-07 23:15:47.282678692
2025-11-07 23:15:46.890371,18944,2025-11-07 23:15:47.290371000
2025-11-07 23:15:46.890371,1,2025-11-07 23:15:47.298063308
2025-11-07 23:15:46.890371,149,2025-11-07 23:15:47.305755615
2025-11-07 23:15:46.890371,21248,2025-11-07 23:15:47.313447923
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.321140231
2025-11-07 23:15:46.890371,7,2025-11-07 23:15:47.328832538
2025-11-07 23:15:46.890371,-12032,2025-11-07 23:15:47.336524846
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.344217154
2025-11-07 23:15:46.890371,-38,2025-11-07 23:15:47.351909462
2025-11-07 23:15:46.890371,-8193,2025-11-07 23:15:47.359601769
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.367294077
2025-11-07 23:15:46.890371,-42,2025-11-07 23:15:47.374986385
2025-11-07 23:15:46.890371,-9473,2025-11-07 23:15:47.382678692
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.390371000
2025-11-07 23:15:46.890371,-30,2025-11-07 23:15:47.398063308
2025-11-07 23:15:46.890371,-8193,2025-11-07 23:15:47.405755615
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.413447923
2025-11-07 23:15:46.890371,-28,2025-11-07 23:15:47.421140230
2025-11-07 23:15:46.890371,-3329,2025-11-07 23:15:47.428832538
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.436524846
2025-11-07 23:15:46.890371,-14,2025-11-07 23:15:47.444217154
2025-11-07 23:15:46.890371,-2561,2025-11-07 23:15:47.451909462
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.459601769
2025-11-07 23:15:46.890371,4,2025-11-07 23:15:47.467294077
2025-11-07 23:15:46.890371,5888,2025-11-07 23:15:47.474986385
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.482678692
2025-11-07 23:15:46.890371,30,2025-11-07 23:15:47.490371000
2025-11-07 23:15:46.890371,8448,2025-11-07 23:15:47.498063308
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.505755615
2025-11-07 23:15:46.890371,42,2025-11-07 23:15:47.513447923
2025-11-07 23:15:46.890371,16384,2025-11-07 23:15:47.521140231
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.528832538
2025-11-07 23:15:46.890371,85,2025-11-07 23:15:47.536524846
2025-11-07 23:15:46.890371,21760,2025-11-07 23:15:47.544217154
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.551909462
2025-11-07 23:15:46.890371,83,2025-11-07 23:15:47.559601769
2025-11-07 23:15:46.890371,22528,2025-11-07 23:15:47.567294077
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.574986385
2025-11-07 23:15:46.890371,83,2025-11-07 23:15:47.582678692
2025-11-07 23:15:46.890371,15616,2025-11-07 23:15:47.590371000
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.598063308
2025-11-07 23:15:46.890371,38,2025-11-07 23:15:47.605755615
2025-11-07 23:15:46.890371,3584,2025-11-07 23:15:47.613447923
2025-11-07 23:15:46.890371,0,2025-11-07 23:15:47.621140231
2025-11-07 23:15:46.890371,-9,2025-11-07 23:15:47.628832538
2025-11-07 23:15:46.890371,-4609,2025-11-07 23:15:47.636524846
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.644217154
2025-11-07 23:15:46.890371,-21,2025-11-07 23:15:47.651909462
2025-11-07 23:15:46.890371,-6913,2025-11-07 23:15:47.659601769
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.667294077
2025-11-07 23:15:46.890371,-30,2025-11-07 23:15:47.674986385
2025-11-07 23:15:46.890371,-5121,2025-11-07 23:15:47.682678692
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.690371000
2025-11-07 23:15:46.890371,-14,2025-11-07 23:15:47.698063308
2025-11-07 23:15:46.890371,-4609,2025-11-07 23:15:47.705755615
2025-11-07 23:15:46.890371,-1,2025-11-07 23:15:47.713447923
2025-11-07 23:15:46.890371,-19,2025-11-07 23:15:47.721140231
2025-11-07 23:15:47.394455,-16,2025-11-07 23:15:47.728832538
2025-11-07 23:15:47.394455,-2049,2025-11-07 23:15:47.736524846
2025-11-07 23:15:47.394455,-1,2025-11-07 23:15:47.744217154
2025-11-07 23:15:47.394455,-4,2025-11-07 23:15:47.751909462
2025-11-07 23:15:47.394455,-257,2025-11-07 23:15:47.759601769
2025-11-07 23:15:47.394455,-1,2025-11-07 23:15:47.767294077
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.774986385
2025-11-07 23:15:47.394455,-512,2025-11-07 23:15:47.782678692
2025-11-07 23:15:47.394455,-1,2025-11-07 23:15:47.790371000
2025-11-07 23:15:47.394455,-2,2025-11-07 23:15:47.798063308
2025-11-07 23:15:47.394455,2047,2025-11-07 23:15:47.805755615
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.813447923
2025-11-07 23:15:47.394455,19,2025-11-07 23:15:47.821140231
2025-11-07 23:15:47.394455,7168,2025-11-07 23:15:47.828832538
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.836524846
2025-11-07 23:15:47.394455,33,2025-11-07 23:15:47.844217154
2025-11-07 23:15:47.394455,7168,2025-11-07 23:15:47.851909462
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.859601769
2025-11-07 23:15:47.394455,21,2025-11-07 23:15:47.867294077
2025-11-07 23:15:47.394455,3584,2025-11-07 23:15:47.874986385
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.882678692
2025-11-07 23:15:47.394455,11,2025-11-07 23:15:47.890371000
2025-11-07 23:15:47.394455,6656,2025-11-07 23:15:47.898063308
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.905755615
2025-11-07 23:15:47.394455,52,2025-11-07 23:15:47.913447923
2025-11-07 23:15:47.394455,15616,2025-11-07 23:15:47.921140231
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.928832538
2025-11-07 23:15:47.394455,57,2025-11-07 23:15:47.936524846
2025-11-07 23:15:47.394455,15104,2025-11-07 23:15:47.944217154
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.951909462
2025-11-07 23:15:47.394455,64,2025-11-07 23:15:47.959601769
2025-11-07 23:15:47.394455,15104,2025-11-07 23:15:47.967294077
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.974986385
2025-11-07 23:15:47.394455,49,2025-11-07 23:15:47.982678692
2025-11-07 23:15:47.394455,10752,2025-11-07 23:15:47.990371000
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:47.998063308
2025-11-07 23:15:47.394455,40,2025-11-07 23:15:48.005755615
2025-11-07 23:15:47.394455,10240,2025-11-07 23:15:48.013447923
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:48.021140231
2025-11-07 23:15:47.394455,40,2025-11-07 23:15:48.028832538
2025-11-07 23:15:47.394455,10240,2025-11-07 23:15:48.036524846
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:48.044217154
2025-11-07 23:15:47.394455,26,2025-11-07 23:15:48.051909462
2025-11-07 23:15:47.394455,-6656,2025-11-07 23:15:48.059601769
2025-11-07 23:15:47.394455,-1,2025-11-07 23:15:48.067294077
2025-11-07 23:15:47.394455,-73,2025-11-07 23:15:48.074986385
2025-11-07 23:15:47.394455,15359,2025-11-07 23:15:48.082678692
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:48.090371000
2025-11-07 23:15:47.394455,423,2025-11-07 23:15:48.098063308
2025-11-07 23:15:47.394455,-21248,2025-11-07 23:15:48.105755615
2025-11-07 23:15:47.394455,2,2025-11-07 23:15:48.113447923
2025-11-07 23:15:47.394455,571,2025-11-07 23:15:48.121140231
2025-11-07 23:15:47.394455,7424,2025-11-07 23:15:48.128832538
2025-11-07 23:15:47.394455,1,2025-11-07 23:15:48.136524846
2025-11-07 23:15:47.394455,128,2025-11-07 23:15:48.144217154
2025-11-07 23:15:47.394455,17664,2025-11-07 23:15:48.151909462
2025-11-07 23:15:47.394455,0,2025-11-07 23:15:48.159601769
2025-11-07 23:15:47.394455,-11,2025-11-07 23:15:48.167294077
2025-11-07 23:15:47.394455,-14849,2025-11-07 23:15:48.174986385
2025-11-07 23:15:47.394455,-1,2025-11-07 23:15:48.182678692
2025-11-07 23:15:47.394455,-47,2025-11-07 23:15:48.190371000
2025-11-07 23:15:47.394455,-10497,2025-11-07 23:15:48.198063308
