timestamp,ecg,reconstructed_time
2025-11-07 14:36:08.222654,-88,2025-11-07 14:36:08.222654000
2025-11-07 14:36:08.222654,-19969,2025-11-07 14:36:08.230346308
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.238038615
2025-11-07 14:36:08.222654,-71,2025-11-07 14:36:08.245730923
2025-11-07 14:36:08.222654,-16129,2025-11-07 14:36:08.253423231
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.261115538
2025-11-07 14:36:08.222654,-59,2025-11-07 14:36:08.268807846
2025-11-07 14:36:08.222654,-13825,2025-11-07 14:36:08.276500154
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.284192462
2025-11-07 14:36:08.222654,-55,2025-11-07 14:36:08.291884769
2025-11-07 14:36:08.222654,-16129,2025-11-07 14:36:08.299577077
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.307269385
2025-11-07 14:36:08.222654,-67,2025-11-07 14:36:08.314961692
2025-11-07 14:36:08.222654,-16129,2025-11-07 14:36:08.322654000
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.330346308
2025-11-07 14:36:08.222654,-64,2025-11-07 14:36:08.338038615
2025-11-07 14:36:08.222654,-16897,2025-11-07 14:36:08.345730923
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.353423231
2025-11-07 14:36:08.222654,-67,2025-11-07 14:36:08.361115538
2025-11-07 14:36:08.222654,-16129,2025-11-07 14:36:08.368807846
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.376500154
2025-11-07 14:36:08.222654,-62,2025-11-07 14:36:08.384192462
2025-11-07 14:36:08.222654,-14849,2025-11-07 14:36:08.391884769
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.399577077
2025-11-07 14:36:08.222654,-57,2025-11-07 14:36:08.407269385
2025-11-07 14:36:08.222654,-13825,2025-11-07 14:36:08.414961692
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.422654000
2025-11-07 14:36:08.222654,-52,2025-11-07 14:36:08.430346308
2025-11-07 14:36:08.222654,-13825,2025-11-07 14:36:08.438038615
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.445730923
2025-11-07 14:36:08.222654,-52,2025-11-07 14:36:08.453423231
2025-11-07 14:36:08.222654,-11777,2025-11-07 14:36:08.461115538
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.468807846
2025-11-07 14:36:08.222654,-50,2025-11-07 14:36:08.476500154
2025-11-07 14:36:08.222654,-11777,2025-11-07 14:36:08.484192462
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.491884769
2025-11-07 14:36:08.222654,-45,2025-11-07 14:36:08.499577077
2025-11-07 14:36:08.222654,-10753,2025-11-07 14:36:08.507269385
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.514961692
2025-11-07 14:36:08.222654,-43,2025-11-07 14:36:08.522654000
2025-11-07 14:36:08.222654,-9985,2025-11-07 14:36:08.530346308
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.538038615
2025-11-07 14:36:08.222654,-40,2025-11-07 14:36:08.545730923
2025-11-07 14:36:08.222654,-9473,2025-11-07 14:36:08.553423231
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.561115538
2025-11-07 14:36:08.222654,-38,2025-11-07 14:36:08.568807846
2025-11-07 14:36:08.222654,-9473,2025-11-07 14:36:08.576500154
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.584192462
2025-11-07 14:36:08.222654,-35,2025-11-07 14:36:08.591884769
2025-11-07 14:36:08.222654,-8193,2025-11-07 14:36:08.599577077
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.607269385
2025-11-07 14:36:08.222654,-33,2025-11-07 14:36:08.614961692
2025-11-07 14:36:08.222654,-8705,2025-11-07 14:36:08.622654000
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.630346308
2025-11-07 14:36:08.222654,-35,2025-11-07 14:36:08.638038615
2025-11-07 14:36:08.222654,-9985,2025-11-07 14:36:08.645730923
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.653423231
2025-11-07 14:36:08.222654,-43,2025-11-07 14:36:08.661115538
2025-11-07 14:36:08.222654,-9985,2025-11-07 14:36:08.668807846
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.676500154
2025-11-07 14:36:08.222654,-38,2025-11-07 14:36:08.684192462
2025-11-07 14:36:08.222654,-9985,2025-11-07 14:36:08.691884769
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.699577077
2025-11-07 14:36:08.222654,-31,2025-11-07 14:36:08.707269385
2025-11-07 14:36:08.222654,-3841,2025-11-07 14:36:08.714961692
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.722654000
2025-11-07 14:36:08.222654,-4,2025-11-07 14:36:08.730346308
2025-11-07 14:36:08.222654,-769,2025-11-07 14:36:08.738038615
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.745730923
2025-11-07 14:36:08.222654,-16,2025-11-07 14:36:08.753423230
2025-11-07 14:36:08.222654,-5121,2025-11-07 14:36:08.761115538
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.768807846
2025-11-07 14:36:08.222654,-19,2025-11-07 14:36:08.776500154
2025-11-07 14:36:08.222654,-3841,2025-11-07 14:36:08.784192462
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.791884769
2025-11-07 14:36:08.222654,-21,2025-11-07 14:36:08.799577077
2025-11-07 14:36:08.222654,-5121,2025-11-07 14:36:08.807269385
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.814961692
2025-11-07 14:36:08.222654,-21,2025-11-07 14:36:08.822654000
2025-11-07 14:36:08.222654,-9985,2025-11-07 14:36:08.830346308
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.838038615
2025-11-07 14:36:08.222654,-98,2025-11-07 14:36:08.845730923
2025-11-07 14:36:08.222654,31487,2025-11-07 14:36:08.853423231
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.861115538
2025-11-07 14:36:08.222654,7,2025-11-07 14:36:08.868807846
2025-11-07 14:36:08.222654,-19456,2025-11-07 14:36:08.876500154
2025-11-07 14:36:08.222654,1,2025-11-07 14:36:08.884192462
2025-11-07 14:36:08.222654,884,2025-11-07 14:36:08.891884769
2025-11-07 14:36:08.222654,31488,2025-11-07 14:36:08.899577077
2025-11-07 14:36:08.222654,3,2025-11-07 14:36:08.907269385
2025-11-07 14:36:08.222654,520,2025-11-07 14:36:08.914961692
2025-11-07 14:36:08.222654,-18944,2025-11-07 14:36:08.922654000
2025-11-07 14:36:08.222654,0,2025-11-07 14:36:08.930346308
2025-11-07 14:36:08.222654,4,2025-11-07 14:36:08.938038615
2025-11-07 14:36:08.222654,-22016,2025-11-07 14:36:08.945730923
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.953423231
2025-11-07 14:36:08.222654,-124,2025-11-07 14:36:08.961115538
2025-11-07 14:36:08.222654,29695,2025-11-07 14:36:08.968807846
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.976500154
2025-11-07 14:36:08.222654,-146,2025-11-07 14:36:08.984192462
2025-11-07 14:36:08.222654,28415,2025-11-07 14:36:08.991884769
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:08.999577077
2025-11-07 14:36:08.222654,-143,2025-11-07 14:36:09.007269385
2025-11-07 14:36:08.222654,30975,2025-11-07 14:36:09.014961692
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:09.022654000
2025-11-07 14:36:08.222654,-129,2025-11-07 14:36:09.030346308
2025-11-07 14:36:08.222654,-32257,2025-11-07 14:36:09.038038615
2025-11-07 14:36:08.222654,-1,2025-11-07 14:36:09.045730923
2025-11-07 14:36:08.222654,-127,2025-11-07 14:36:09.053423231
2025-11-07 14:36:08.759013,-122,2025-11-07 14:36:09.061115538
2025-11-07 14:36:08.759013,-29697,2025-11-07 14:36:09.068807846
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.076500154
2025-11-07 14:36:08.759013,-115,2025-11-07 14:36:09.084192462
2025-11-07 14:36:08.759013,-28417,2025-11-07 14:36:09.091884769
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.099577077
2025-11-07 14:36:08.759013,-112,2025-11-07 14:36:09.107269385
2025-11-07 14:36:08.759013,-28417,2025-11-07 14:36:09.114961692
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.122654000
2025-11-07 14:36:08.759013,-112,2025-11-07 14:36:09.130346308
2025-11-07 14:36:08.759013,-27905,2025-11-07 14:36:09.138038615
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.145730923
2025-11-07 14:36:08.759013,-107,2025-11-07 14:36:09.153423231
2025-11-07 14:36:08.759013,-25345,2025-11-07 14:36:09.161115538
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.168807846
2025-11-07 14:36:08.759013,-86,2025-11-07 14:36:09.176500154
2025-11-07 14:36:08.759013,-18689,2025-11-07 14:36:09.184192462
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.191884769
2025-11-07 14:36:08.759013,-71,2025-11-07 14:36:09.199577077
2025-11-07 14:36:08.759013,-17409,2025-11-07 14:36:09.207269385
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.214961692
2025-11-07 14:36:08.759013,-57,2025-11-07 14:36:09.222654000
2025-11-07 14:36:08.759013,-12545,2025-11-07 14:36:09.230346308
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.238038615
2025-11-07 14:36:08.759013,-50,2025-11-07 14:36:09.245730923
2025-11-07 14:36:08.759013,-12545,2025-11-07 14:36:09.253423231
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.261115538
2025-11-07 14:36:08.759013,-55,2025-11-07 14:36:09.268807846
2025-11-07 14:36:08.759013,-14849,2025-11-07 14:36:09.276500154
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.284192462
2025-11-07 14:36:08.759013,-64,2025-11-07 14:36:09.291884769
2025-11-07 14:36:08.759013,-16897,2025-11-07 14:36:09.299577077
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.307269385
2025-11-07 14:36:08.759013,-67,2025-11-07 14:36:09.314961692
2025-11-07 14:36:08.759013,-16129,2025-11-07 14:36:09.322654000
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.330346308
2025-11-07 14:36:08.759013,-64,2025-11-07 14:36:09.338038615
2025-11-07 14:36:08.759013,-15617,2025-11-07 14:36:09.345730923
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.353423231
2025-11-07 14:36:08.759013,-57,2025-11-07 14:36:09.361115538
2025-11-07 14:36:08.759013,-13057,2025-11-07 14:36:09.368807846
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.376500154
2025-11-07 14:36:08.759013,-52,2025-11-07 14:36:09.384192462
2025-11-07 14:36:08.759013,-13057,2025-11-07 14:36:09.391884769
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.399577077
2025-11-07 14:36:08.759013,-52,2025-11-07 14:36:09.407269385
2025-11-07 14:36:08.759013,-13057,2025-11-07 14:36:09.414961692
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.422654000
2025-11-07 14:36:08.759013,-50,2025-11-07 14:36:09.430346308
2025-11-07 14:36:08.759013,-12545,2025-11-07 14:36:09.438038615
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.445730923
2025-11-07 14:36:08.759013,-47,2025-11-07 14:36:09.453423231
2025-11-07 14:36:08.759013,-11265,2025-11-07 14:36:09.461115538
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.468807846
2025-11-07 14:36:08.759013,-45,2025-11-07 14:36:09.476500154
2025-11-07 14:36:08.759013,-11265,2025-11-07 14:36:09.484192462
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.491884769
2025-11-07 14:36:08.759013,-43,2025-11-07 14:36:09.499577077
2025-11-07 14:36:08.759013,-9473,2025-11-07 14:36:09.507269385
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.514961692
2025-11-07 14:36:08.759013,-40,2025-11-07 14:36:09.522654000
2025-11-07 14:36:08.759013,-10753,2025-11-07 14:36:09.530346308
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.538038615
2025-11-07 14:36:08.759013,-40,2025-11-07 14:36:09.545730923
2025-11-07 14:36:08.759013,-9473,2025-11-07 14:36:09.553423231
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.561115538
2025-11-07 14:36:08.759013,-38,2025-11-07 14:36:09.568807846
2025-11-07 14:36:08.759013,-9473,2025-11-07 14:36:09.576500154
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.584192462
2025-11-07 14:36:08.759013,-38,2025-11-07 14:36:09.591884769
2025-11-07 14:36:08.759013,-8705,2025-11-07 14:36:09.599577077
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.607269385
2025-11-07 14:36:08.759013,-38,2025-11-07 14:36:09.614961692
2025-11-07 14:36:08.759013,-9985,2025-11-07 14:36:09.622654000
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.630346308
2025-11-07 14:36:08.759013,-40,2025-11-07 14:36:09.638038615
2025-11-07 14:36:08.759013,-10753,2025-11-07 14:36:09.645730923
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.653423231
2025-11-07 14:36:08.759013,-43,2025-11-07 14:36:09.661115538
2025-11-07 14:36:08.759013,-9473,2025-11-07 14:36:09.668807846
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.676500154
2025-11-07 14:36:08.759013,-33,2025-11-07 14:36:09.684192462
2025-11-07 14:36:08.759013,-5121,2025-11-07 14:36:09.691884769
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.699577077
2025-11-07 14:36:08.759013,-11,2025-11-07 14:36:09.707269385
2025-11-07 14:36:08.759013,-2049,2025-11-07 14:36:09.714961692
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.722654000
2025-11-07 14:36:08.759013,-16,2025-11-07 14:36:09.730346308
2025-11-07 14:36:08.759013,-5633,2025-11-07 14:36:09.738038615
2025-11-07 14:36:08.759013,-1,2025-11-07 14:36:09.745730923
2025-11-07 14:36:08.759013,-23,2025-11-07 14:36:09.753423230
2025-11-07 14:36:08.759013,-4609,2025-11-07 14:36:09.761115538
