timestamp,ecg,reconstructed_time
2025-11-07 22:03:01.341383,-92,2025-11-07 22:03:01.341383000
2025-11-07 22:03:01.341383,24575,2025-11-07 22:03:01.349075308
2025-11-07 22:03:01.341383,0,2025-11-07 22:03:01.356767615
2025-11-07 22:03:01.341383,479,2025-11-07 22:03:01.364459923
2025-11-07 22:03:01.341383,-22784,2025-11-07 22:03:01.372152231
2025-11-07 22:03:01.341383,2,2025-11-07 22:03:01.379844538
2025-11-07 22:03:01.341383,598,2025-11-07 22:03:01.387536846
2025-11-07 22:03:01.341383,6144,2025-11-07 22:03:01.395229154
2025-11-07 22:03:01.341383,2,2025-11-07 22:03:01.402921462
2025-11-07 22:03:01.341383,498,2025-11-07 22:03:01.410613769
2025-11-07 22:03:01.341383,28416,2025-11-07 22:03:01.418306077
2025-11-07 22:03:01.341383,1,2025-11-07 22:03:01.425998385
2025-11-07 22:03:01.341383,224,2025-11-07 22:03:01.433690692
2025-11-07 22:03:01.341383,25600,2025-11-07 22:03:01.441383000
2025-11-07 22:03:01.341383,0,2025-11-07 22:03:01.449075308
2025-11-07 22:03:01.341383,-45,2025-11-07 22:03:01.456767615
2025-11-07 22:03:01.341383,13311,2025-11-07 22:03:01.464459923
2025-11-07 22:03:01.341383,-1,2025-11-07 22:03:01.472152231
2025-11-07 22:03:01.341383,-350,2025-11-07 22:03:01.479844538
2025-11-07 22:03:01.341383,5119,2025-11-07 22:03:01.487536846
2025-11-07 22:03:01.341383,-2,2025-11-07 22:03:01.495229154
2025-11-07 22:03:01.341383,-634,2025-11-07 22:03:01.502921462
2025-11-07 22:03:01.341383,4095,2025-11-07 22:03:01.510613769
2025-11-07 22:03:01.341383,-3,2025-11-07 22:03:01.518306077
2025-11-07 22:03:01.341383,-848,2025-11-07 22:03:01.525998385
2025-11-07 22:03:01.341383,22527,2025-11-07 22:03:01.533690692
2025-11-07 22:03:01.341383,-4,2025-11-07 22:03:01.541383000
2025-11-07 22:03:01.341383,-1018,2025-11-07 22:03:01.549075308
2025-11-07 22:03:01.341383,-19457,2025-11-07 22:03:01.556767615
2025-11-07 22:03:01.341383,-5,2025-11-07 22:03:01.564459923
2025-11-07 22:03:01.341383,-1185,2025-11-07 22:03:01.572152231
2025-11-07 22:03:01.341383,3327,2025-11-07 22:03:01.579844538
2025-11-07 22:03:01.341383,-5,2025-11-07 22:03:01.587536846
2025-11-07 22:03:01.341383,-1351,2025-11-07 22:03:01.595229154
2025-11-07 22:03:01.341383,26623,2025-11-07 22:03:01.602921462
2025-11-07 22:03:01.341383,-6,2025-11-07 22:03:01.610613769
2025-11-07 22:03:01.341383,-1511,2025-11-07 22:03:01.618306077
2025-11-07 22:03:01.341383,-12289,2025-11-07 22:03:01.625998385
2025-11-07 22:03:01.341383,-7,2025-11-07 22:03:01.633690692
