timestamp,ecg,reconstructed_time
2025-11-07 15:26:15.229077,89,2025-11-07 15:26:15.229077000
2025-11-07 15:26:15.229077,17152,2025-11-07 15:26:15.236769308
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.244461615
2025-11-07 15:26:15.229077,45,2025-11-07 15:26:15.252153923
2025-11-07 15:26:15.229077,8448,2025-11-07 15:26:15.259846231
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.267538538
2025-11-07 15:26:15.229077,31,2025-11-07 15:26:15.275230846
2025-11-07 15:26:15.229077,4096,2025-11-07 15:26:15.282923154
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.290615462
2025-11-07 15:26:15.229077,-7,2025-11-07 15:26:15.298307769
2025-11-07 15:26:15.229077,-6401,2025-11-07 15:26:15.306000077
2025-11-07 15:26:15.229077,-1,2025-11-07 15:26:15.313692385
2025-11-07 15:26:15.229077,-38,2025-11-07 15:26:15.321384692
2025-11-07 15:26:15.229077,-13825,2025-11-07 15:26:15.329077000
2025-11-07 15:26:15.229077,-1,2025-11-07 15:26:15.336769308
2025-11-07 15:26:15.229077,-74,2025-11-07 15:26:15.344461615
2025-11-07 15:26:15.229077,-19969,2025-11-07 15:26:15.352153923
2025-11-07 15:26:15.229077,-1,2025-11-07 15:26:15.359846231
2025-11-07 15:26:15.229077,-82,2025-11-07 15:26:15.367538538
2025-11-07 15:26:15.229077,-21761,2025-11-07 15:26:15.375230846
2025-11-07 15:26:15.229077,-1,2025-11-07 15:26:15.382923154
2025-11-07 15:26:15.229077,-89,2025-11-07 15:26:15.390615462
2025-11-07 15:26:15.229077,-22529,2025-11-07 15:26:15.398307769
2025-11-07 15:26:15.229077,-1,2025-11-07 15:26:15.406000077
2025-11-07 15:26:15.229077,-82,2025-11-07 15:26:15.413692385
2025-11-07 15:26:15.229077,-16897,2025-11-07 15:26:15.421384692
2025-11-07 15:26:15.229077,-1,2025-11-07 15:26:15.429077000
2025-11-07 15:26:15.229077,-43,2025-11-07 15:26:15.436769308
2025-11-07 15:26:15.229077,767,2025-11-07 15:26:15.444461615
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.452153923
2025-11-07 15:26:15.229077,43,2025-11-07 15:26:15.459846231
2025-11-07 15:26:15.229077,16640,2025-11-07 15:26:15.467538538
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.475230846
2025-11-07 15:26:15.229077,86,2025-11-07 15:26:15.482923154
2025-11-07 15:26:15.229077,25856,2025-11-07 15:26:15.490615462
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.498307769
2025-11-07 15:26:15.229077,103,2025-11-07 15:26:15.506000077
2025-11-07 15:26:15.229077,25088,2025-11-07 15:26:15.513692385
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.521384692
2025-11-07 15:26:15.229077,96,2025-11-07 15:26:15.529077000
2025-11-07 15:26:15.229077,24064,2025-11-07 15:26:15.536769308
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.544461615
2025-11-07 15:26:15.229077,84,2025-11-07 15:26:15.552153923
2025-11-07 15:26:15.229077,19712,2025-11-07 15:26:15.559846231
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.567538538
2025-11-07 15:26:15.229077,79,2025-11-07 15:26:15.575230846
2025-11-07 15:26:15.229077,19712,2025-11-07 15:26:15.582923154
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.590615462
2025-11-07 15:26:15.229077,79,2025-11-07 15:26:15.598307769
2025-11-07 15:26:15.229077,20992,2025-11-07 15:26:15.606000077
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.613692385
2025-11-07 15:26:15.229077,79,2025-11-07 15:26:15.621384692
2025-11-07 15:26:15.229077,19712,2025-11-07 15:26:15.629077000
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.636769308
2025-11-07 15:26:15.229077,69,2025-11-07 15:26:15.644461615
2025-11-07 15:26:15.229077,18432,2025-11-07 15:26:15.652153923
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.659846231
2025-11-07 15:26:15.229077,79,2025-11-07 15:26:15.667538538
2025-11-07 15:26:15.229077,19712,2025-11-07 15:26:15.675230846
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.682923154
2025-11-07 15:26:15.229077,72,2025-11-07 15:26:15.690615462
2025-11-07 15:26:15.229077,19712,2025-11-07 15:26:15.698307769
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.706000077
2025-11-07 15:26:15.229077,82,2025-11-07 15:26:15.713692385
2025-11-07 15:26:15.229077,19712,2025-11-07 15:26:15.721384692
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.729077000
2025-11-07 15:26:15.229077,69,2025-11-07 15:26:15.736769308
2025-11-07 15:26:15.229077,17664,2025-11-07 15:26:15.744461615
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.752153923
2025-11-07 15:26:15.229077,67,2025-11-07 15:26:15.759846230
2025-11-07 15:26:15.229077,14080,2025-11-07 15:26:15.767538538
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.775230846
2025-11-07 15:26:15.229077,41,2025-11-07 15:26:15.782923154
2025-11-07 15:26:15.229077,7168,2025-11-07 15:26:15.790615462
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.798307769
2025-11-07 15:26:15.229077,28,2025-11-07 15:26:15.806000077
2025-11-07 15:26:15.229077,8448,2025-11-07 15:26:15.813692385
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.821384692
2025-11-07 15:26:15.229077,41,2025-11-07 15:26:15.829077000
2025-11-07 15:26:15.229077,13568,2025-11-07 15:26:15.836769308
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.844461615
2025-11-07 15:26:15.229077,55,2025-11-07 15:26:15.852153923
2025-11-07 15:26:15.229077,13568,2025-11-07 15:26:15.859846231
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.867538538
2025-11-07 15:26:15.229077,48,2025-11-07 15:26:15.875230846
2025-11-07 15:26:15.229077,11520,2025-11-07 15:26:15.882923154
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.890615462
2025-11-07 15:26:15.229077,50,2025-11-07 15:26:15.898307769
2025-11-07 15:26:15.229077,14080,2025-11-07 15:26:15.906000077
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.913692385
2025-11-07 15:26:15.229077,57,2025-11-07 15:26:15.921384692
2025-11-07 15:26:15.229077,21504,2025-11-07 15:26:15.929077000
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.936769308
2025-11-07 15:26:15.229077,149,2025-11-07 15:26:15.944461615
2025-11-07 15:26:15.229077,-29952,2025-11-07 15:26:15.952153923
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:15.959846231
2025-11-07 15:26:15.229077,-176,2025-11-07 15:26:15.967538538
2025-11-07 15:26:15.229077,-16641,2025-11-07 15:26:15.975230846
2025-11-07 15:26:15.229077,-4,2025-11-07 15:26:15.982923154
2025-11-07 15:26:15.229077,-1505,2025-11-07 15:26:15.990615462
2025-11-07 15:26:15.229077,32255,2025-11-07 15:26:15.998307769
2025-11-07 15:26:15.229077,-7,2025-11-07 15:26:16.006000077
2025-11-07 15:26:15.229077,-996,2025-11-07 15:26:16.013692385
2025-11-07 15:26:15.229077,-14337,2025-11-07 15:26:16.021384692
2025-11-07 15:26:15.229077,-1,2025-11-07 15:26:16.029077000
2025-11-07 15:26:15.229077,236,2025-11-07 15:26:16.036769308
2025-11-07 15:26:15.229077,21504,2025-11-07 15:26:16.044461615
2025-11-07 15:26:15.229077,0,2025-11-07 15:26:16.052153923
2025-11-07 15:26:15.229077,135,2025-11-07 15:26:16.059846231
2025-11-07 15:26:15.810686,246,2025-11-07 15:26:16.067538538
2025-11-07 15:26:15.810686,-15104,2025-11-07 15:26:16.075230846
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.082923154
2025-11-07 15:26:15.810686,176,2025-11-07 15:26:16.090615462
2025-11-07 15:26:15.810686,-13056,2025-11-07 15:26:16.098307769
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.106000077
2025-11-07 15:26:15.810686,185,2025-11-07 15:26:16.113692385
2025-11-07 15:26:15.810686,-28672,2025-11-07 15:26:16.121384692
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.129077000
2025-11-07 15:26:15.810686,142,2025-11-07 15:26:16.136769308
2025-11-07 15:26:15.810686,-29184,2025-11-07 15:26:16.144461615
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.152153923
2025-11-07 15:26:15.810686,130,2025-11-07 15:26:16.159846231
2025-11-07 15:26:15.810686,30208,2025-11-07 15:26:16.167538538
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.175230846
2025-11-07 15:26:15.810686,108,2025-11-07 15:26:16.182923154
2025-11-07 15:26:15.810686,23296,2025-11-07 15:26:16.190615462
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.198307769
2025-11-07 15:26:15.810686,62,2025-11-07 15:26:16.206000077
2025-11-07 15:26:15.810686,11008,2025-11-07 15:26:16.213692385
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.221384692
2025-11-07 15:26:15.810686,31,2025-11-07 15:26:16.229077000
2025-11-07 15:26:15.810686,2304,2025-11-07 15:26:16.236769308
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.244461615
2025-11-07 15:26:15.810686,-9,2025-11-07 15:26:16.252153923
2025-11-07 15:26:15.810686,-5121,2025-11-07 15:26:16.259846231
2025-11-07 15:26:15.810686,-1,2025-11-07 15:26:16.267538538
2025-11-07 15:26:15.810686,-43,2025-11-07 15:26:16.275230846
2025-11-07 15:26:15.810686,-15617,2025-11-07 15:26:16.282923154
2025-11-07 15:26:15.810686,-1,2025-11-07 15:26:16.290615462
2025-11-07 15:26:15.810686,-72,2025-11-07 15:26:16.298307769
2025-11-07 15:26:15.810686,-19457,2025-11-07 15:26:16.306000077
2025-11-07 15:26:15.810686,-1,2025-11-07 15:26:16.313692385
2025-11-07 15:26:15.810686,-91,2025-11-07 15:26:16.321384692
2025-11-07 15:26:15.810686,-25601,2025-11-07 15:26:16.329077000
2025-11-07 15:26:15.810686,-1,2025-11-07 15:26:16.336769308
2025-11-07 15:26:15.810686,-94,2025-11-07 15:26:16.344461615
2025-11-07 15:26:15.810686,-19969,2025-11-07 15:26:16.352153923
2025-11-07 15:26:15.810686,-1,2025-11-07 15:26:16.359846231
2025-11-07 15:26:15.810686,-62,2025-11-07 15:26:16.367538538
2025-11-07 15:26:15.810686,-6913,2025-11-07 15:26:16.375230846
2025-11-07 15:26:15.810686,-1,2025-11-07 15:26:16.382923154
2025-11-07 15:26:15.810686,19,2025-11-07 15:26:16.390615462
2025-11-07 15:26:15.810686,14080,2025-11-07 15:26:16.398307769
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.406000077
2025-11-07 15:26:15.810686,79,2025-11-07 15:26:16.413692385
2025-11-07 15:26:15.810686,25856,2025-11-07 15:26:16.421384692
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.429077000
2025-11-07 15:26:15.810686,108,2025-11-07 15:26:16.436769308
2025-11-07 15:26:15.810686,26368,2025-11-07 15:26:16.444461615
2025-11-07 15:26:15.810686,0,2025-11-07 15:26:16.452153923
2025-11-07 15:26:15.810686,106,2025-11-07 15:26:16.459846231
2025-11-07 15:26:15.810686,28160,2025-11-07 15:26:16.467538538
