timestamp,ecg,reconstructed_time
2025-11-07 15:32:15.816543,296,2025-11-07 15:32:15.816543000
2025-11-07 15:32:15.816543,-6400,2025-11-07 15:32:15.824235308
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:15.831927615
2025-11-07 15:32:15.816543,231,2025-11-07 15:32:15.839619923
2025-11-07 15:32:15.816543,-256,2025-11-07 15:32:15.847312231
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:15.855004538
2025-11-07 15:32:15.816543,221,2025-11-07 15:32:15.862696846
2025-11-07 15:32:15.816543,-15104,2025-11-07 15:32:15.870389154
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:15.878081462
2025-11-07 15:32:15.816543,197,2025-11-07 15:32:15.885773769
2025-11-07 15:32:15.816543,-18688,2025-11-07 15:32:15.893466077
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:15.901158385
2025-11-07 15:32:15.816543,166,2025-11-07 15:32:15.908850692
2025-11-07 15:32:15.816543,-21760,2025-11-07 15:32:15.916543000
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:15.924235308
2025-11-07 15:32:15.816543,161,2025-11-07 15:32:15.931927615
2025-11-07 15:32:15.816543,-30976,2025-11-07 15:32:15.939619923
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:15.947312231
2025-11-07 15:32:15.816543,118,2025-11-07 15:32:15.955004538
2025-11-07 15:32:15.816543,26368,2025-11-07 15:32:15.962696846
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:15.970389154
2025-11-07 15:32:15.816543,79,2025-11-07 15:32:15.978081462
2025-11-07 15:32:15.816543,15360,2025-11-07 15:32:15.985773769
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:15.993466077
2025-11-07 15:32:15.816543,45,2025-11-07 15:32:16.001158385
2025-11-07 15:32:15.816543,5376,2025-11-07 15:32:16.008850692
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.016543000
2025-11-07 15:32:15.816543,-2,2025-11-07 15:32:16.024235308
2025-11-07 15:32:15.816543,-5889,2025-11-07 15:32:16.031927615
2025-11-07 15:32:15.816543,-1,2025-11-07 15:32:16.039619923
2025-11-07 15:32:15.816543,-43,2025-11-07 15:32:16.047312231
2025-11-07 15:32:15.816543,-14337,2025-11-07 15:32:16.055004538
2025-11-07 15:32:15.816543,-1,2025-11-07 15:32:16.062696846
2025-11-07 15:32:15.816543,-67,2025-11-07 15:32:16.070389154
2025-11-07 15:32:15.816543,-19457,2025-11-07 15:32:16.078081462
2025-11-07 15:32:15.816543,-1,2025-11-07 15:32:16.085773769
2025-11-07 15:32:15.816543,-82,2025-11-07 15:32:16.093466077
2025-11-07 15:32:15.816543,-18689,2025-11-07 15:32:16.101158385
2025-11-07 15:32:15.816543,-1,2025-11-07 15:32:16.108850692
2025-11-07 15:32:15.816543,-55,2025-11-07 15:32:16.116543000
2025-11-07 15:32:15.816543,-5889,2025-11-07 15:32:16.124235308
2025-11-07 15:32:15.816543,-1,2025-11-07 15:32:16.131927615
2025-11-07 15:32:15.816543,14,2025-11-07 15:32:16.139619923
2025-11-07 15:32:15.816543,13568,2025-11-07 15:32:16.147312231
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.155004538
2025-11-07 15:32:15.816543,96,2025-11-07 15:32:16.162696846
2025-11-07 15:32:15.816543,-30976,2025-11-07 15:32:16.170389154
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.178081462
2025-11-07 15:32:15.816543,161,2025-11-07 15:32:16.185773769
2025-11-07 15:32:15.816543,-23552,2025-11-07 15:32:16.193466077
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.201158385
2025-11-07 15:32:15.816543,156,2025-11-07 15:32:16.208850692
2025-11-07 15:32:15.816543,-24832,2025-11-07 15:32:16.216543000
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.224235308
2025-11-07 15:32:15.816543,161,2025-11-07 15:32:16.231927615
2025-11-07 15:32:15.816543,-26624,2025-11-07 15:32:16.239619923
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.247312231
2025-11-07 15:32:15.816543,142,2025-11-07 15:32:16.255004538
2025-11-07 15:32:15.816543,-30464,2025-11-07 15:32:16.262696846
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.270389154
2025-11-07 15:32:15.816543,135,2025-11-07 15:32:16.278081462
2025-11-07 15:32:15.816543,32512,2025-11-07 15:32:16.285773769
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.293466077
2025-11-07 15:32:15.816543,123,2025-11-07 15:32:16.301158385
2025-11-07 15:32:15.816543,30720,2025-11-07 15:32:16.308850692
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.316543000
2025-11-07 15:32:15.816543,115,2025-11-07 15:32:16.324235308
2025-11-07 15:32:15.816543,27648,2025-11-07 15:32:16.331927615
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.339619923
2025-11-07 15:32:15.816543,106,2025-11-07 15:32:16.347312230
2025-11-07 15:32:15.816543,27648,2025-11-07 15:32:16.355004538
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.362696846
2025-11-07 15:32:15.816543,108,2025-11-07 15:32:16.370389154
2025-11-07 15:32:15.816543,27136,2025-11-07 15:32:16.378081462
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.385773769
2025-11-07 15:32:15.816543,108,2025-11-07 15:32:16.393466077
2025-11-07 15:32:15.816543,27648,2025-11-07 15:32:16.401158385
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.408850692
2025-11-07 15:32:15.816543,103,2025-11-07 15:32:16.416543000
2025-11-07 15:32:15.816543,25856,2025-11-07 15:32:16.424235308
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.431927615
2025-11-07 15:32:15.816543,98,2025-11-07 15:32:16.439619923
2025-11-07 15:32:15.816543,24576,2025-11-07 15:32:16.447312231
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.455004538
2025-11-07 15:32:15.816543,96,2025-11-07 15:32:16.462696846
2025-11-07 15:32:15.816543,24576,2025-11-07 15:32:16.470389154
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.478081462
2025-11-07 15:32:15.816543,96,2025-11-07 15:32:16.485773769
2025-11-07 15:32:15.816543,22784,2025-11-07 15:32:16.493466077
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.501158385
2025-11-07 15:32:15.816543,86,2025-11-07 15:32:16.508850692
2025-11-07 15:32:15.816543,22016,2025-11-07 15:32:16.516543000
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.524235308
2025-11-07 15:32:15.816543,82,2025-11-07 15:32:16.531927615
2025-11-07 15:32:15.816543,20224,2025-11-07 15:32:16.539619923
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.547312231
2025-11-07 15:32:15.816543,77,2025-11-07 15:32:16.555004538
2025-11-07 15:32:15.816543,18432,2025-11-07 15:32:16.562696846
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.570389154
2025-11-07 15:32:15.816543,74,2025-11-07 15:32:16.578081462
2025-11-07 15:32:15.816543,19712,2025-11-07 15:32:16.585773769
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.593466077
2025-11-07 15:32:15.816543,72,2025-11-07 15:32:16.601158385
2025-11-07 15:32:15.816543,17152,2025-11-07 15:32:16.608850692
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.616543000
2025-11-07 15:32:15.816543,67,2025-11-07 15:32:16.624235308
2025-11-07 15:32:15.816543,17664,2025-11-07 15:32:16.631927615
2025-11-07 15:32:15.816543,0,2025-11-07 15:32:16.639619923
2025-11-07 15:32:15.816543,67,2025-11-07 15:32:16.647312231
2025-11-07 15:32:16.396112,65,2025-11-07 15:32:16.655004538
2025-11-07 15:32:16.396112,17152,2025-11-07 15:32:16.662696846
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.670389154
2025-11-07 15:32:16.396112,72,2025-11-07 15:32:16.678081462
2025-11-07 15:32:16.396112,18432,2025-11-07 15:32:16.685773769
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.693466077
2025-11-07 15:32:16.396112,67,2025-11-07 15:32:16.701158385
2025-11-07 15:32:16.396112,13568,2025-11-07 15:32:16.708850692
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.716543000
2025-11-07 15:32:16.396112,45,2025-11-07 15:32:16.724235308
2025-11-07 15:32:16.396112,11520,2025-11-07 15:32:16.731927615
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.739619923
2025-11-07 15:32:16.396112,41,2025-11-07 15:32:16.747312231
2025-11-07 15:32:16.396112,11520,2025-11-07 15:32:16.755004538
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.762696846
2025-11-07 15:32:16.396112,57,2025-11-07 15:32:16.770389154
2025-11-07 15:32:16.396112,15872,2025-11-07 15:32:16.778081462
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.785773769
2025-11-07 15:32:16.396112,62,2025-11-07 15:32:16.793466077
2025-11-07 15:32:16.396112,17152,2025-11-07 15:32:16.801158385
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.808850692
2025-11-07 15:32:16.396112,67,2025-11-07 15:32:16.816543000
2025-11-07 15:32:16.396112,15360,2025-11-07 15:32:16.824235308
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.831927615
2025-11-07 15:32:16.396112,62,2025-11-07 15:32:16.839619923
2025-11-07 15:32:16.396112,19712,2025-11-07 15:32:16.847312231
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.855004538
2025-11-07 15:32:16.396112,123,2025-11-07 15:32:16.862696846
2025-11-07 15:32:16.396112,-18688,2025-11-07 15:32:16.870389154
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.878081462
2025-11-07 15:32:16.396112,45,2025-11-07 15:32:16.885773769
2025-11-07 15:32:16.396112,1536,2025-11-07 15:32:16.893466077
2025-11-07 15:32:16.396112,-2,2025-11-07 15:32:16.901158385
2025-11-07 15:32:16.396112,-1298,2025-11-07 15:32:16.908850692
2025-11-07 15:32:16.396112,-18433,2025-11-07 15:32:16.916543000
2025-11-07 15:32:16.396112,-8,2025-11-07 15:32:16.924235308
2025-11-07 15:32:16.396112,-1662,2025-11-07 15:32:16.931927615
2025-11-07 15:32:16.396112,32767,2025-11-07 15:32:16.939619923
2025-11-07 15:32:16.396112,-3,2025-11-07 15:32:16.947312231
2025-11-07 15:32:16.396112,202,2025-11-07 15:32:16.955004538
2025-11-07 15:32:16.396112,-7680,2025-11-07 15:32:16.962696846
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.970389154
2025-11-07 15:32:16.396112,103,2025-11-07 15:32:16.978081462
2025-11-07 15:32:16.396112,-2048,2025-11-07 15:32:16.985773769
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:16.993466077
2025-11-07 15:32:16.396112,304,2025-11-07 15:32:17.001158385
2025-11-07 15:32:16.396112,-6400,2025-11-07 15:32:17.008850692
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.016543000
2025-11-07 15:32:16.396112,238,2025-11-07 15:32:17.024235308
2025-11-07 15:32:16.396112,-768,2025-11-07 15:32:17.031927615
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.039619923
2025-11-07 15:32:16.396112,217,2025-11-07 15:32:17.047312231
2025-11-07 15:32:16.396112,-13056,2025-11-07 15:32:17.055004538
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.062696846
2025-11-07 15:32:16.396112,209,2025-11-07 15:32:17.070389154
2025-11-07 15:32:16.396112,-16128,2025-11-07 15:32:17.078081462
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.085773769
2025-11-07 15:32:16.396112,173,2025-11-07 15:32:17.093466077
2025-11-07 15:32:16.396112,-23040,2025-11-07 15:32:17.101158385
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.108850692
2025-11-07 15:32:16.396112,154,2025-11-07 15:32:17.116543000
2025-11-07 15:32:16.396112,-30464,2025-11-07 15:32:17.124235308
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.131927615
2025-11-07 15:32:16.396112,125,2025-11-07 15:32:17.139619923
2025-11-07 15:32:16.396112,28160,2025-11-07 15:32:17.147312231
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.155004538
2025-11-07 15:32:16.396112,89,2025-11-07 15:32:17.162696846
2025-11-07 15:32:16.396112,17664,2025-11-07 15:32:17.170389154
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.178081462
2025-11-07 15:32:16.396112,50,2025-11-07 15:32:17.185773769
2025-11-07 15:32:16.396112,7168,2025-11-07 15:32:17.193466077
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.201158385
2025-11-07 15:32:16.396112,7,2025-11-07 15:32:17.208850692
2025-11-07 15:32:16.396112,-4096,2025-11-07 15:32:17.216543000
2025-11-07 15:32:16.396112,-1,2025-11-07 15:32:17.224235308
2025-11-07 15:32:16.396112,-38,2025-11-07 15:32:17.231927615
2025-11-07 15:32:16.396112,-12033,2025-11-07 15:32:17.239619923
2025-11-07 15:32:16.396112,-1,2025-11-07 15:32:17.247312231
2025-11-07 15:32:16.396112,-55,2025-11-07 15:32:17.255004538
2025-11-07 15:32:16.396112,-15105,2025-11-07 15:32:17.262696846
2025-11-07 15:32:16.396112,-1,2025-11-07 15:32:17.270389154
2025-11-07 15:32:16.396112,-57,2025-11-07 15:32:17.278081462
2025-11-07 15:32:16.396112,-12033,2025-11-07 15:32:17.285773769
2025-11-07 15:32:16.396112,-1,2025-11-07 15:32:17.293466077
2025-11-07 15:32:16.396112,-28,2025-11-07 15:32:17.301158385
2025-11-07 15:32:16.396112,1279,2025-11-07 15:32:17.308850692
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.316543000
2025-11-07 15:32:16.396112,50,2025-11-07 15:32:17.324235308
2025-11-07 15:32:16.396112,24064,2025-11-07 15:32:17.331927615
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.339619923
2025-11-07 15:32:16.396112,127,2025-11-07 15:32:17.347312230
2025-11-07 15:32:16.396112,-27392,2025-11-07 15:32:17.355004538
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.362696846
2025-11-07 15:32:16.396112,164,2025-11-07 15:32:17.370389154
2025-11-07 15:32:16.396112,-21248,2025-11-07 15:32:17.378081462
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.385773769
2025-11-07 15:32:16.396112,176,2025-11-07 15:32:17.393466077
2025-11-07 15:32:16.396112,-21248,2025-11-07 15:32:17.401158385
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.408850692
2025-11-07 15:32:16.396112,166,2025-11-07 15:32:17.416543000
2025-11-07 15:32:16.396112,-25600,2025-11-07 15:32:17.424235308
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.431927615
2025-11-07 15:32:16.396112,152,2025-11-07 15:32:17.439619923
2025-11-07 15:32:16.396112,-28672,2025-11-07 15:32:17.447312231
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.455004538
2025-11-07 15:32:16.396112,139,2025-11-07 15:32:17.462696846
2025-11-07 15:32:16.396112,-31744,2025-11-07 15:32:17.470389154
2025-11-07 15:32:16.396112,0,2025-11-07 15:32:17.478081462
2025-11-07 15:32:16.396112,130,2025-11-07 15:32:17.485773769
2025-11-07 15:32:16.936989,125,2025-11-07 15:32:17.493466077
2025-11-07 15:32:16.936989,30720,2025-11-07 15:32:17.501158385
2025-11-07 15:32:16.936989,0,2025-11-07 15:32:17.508850692
2025-11-07 15:32:16.936989,123,2025-11-07 15:32:17.516543000
2025-11-07 15:32:16.936989,31488,2025-11-07 15:32:17.524235308
2025-11-07 15:32:16.936989,0,2025-11-07 15:32:17.531927615
2025-11-07 15:32:16.936989,120,2025-11-07 15:32:17.539619923
2025-11-07 15:32:16.936989,30208,2025-11-07 15:32:17.547312231
2025-11-07 15:32:16.936989,0,2025-11-07 15:32:17.555004538
2025-11-07 15:32:16.936989,115,2025-11-07 15:32:17.562696846
2025-11-07 15:32:16.936989,29440,2025-11-07 15:32:17.570389154
