timestamp,ecg,reconstructed_time
2025-11-07 10:26:34.596674,-41,2025-11-07 10:26:34.596674000
2025-11-07 10:26:34.596674,-10753,2025-11-07 10:26:34.604366308
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.612058615
2025-11-07 10:26:34.596674,-33,2025-11-07 10:26:34.619750923
2025-11-07 10:26:34.596674,-7681,2025-11-07 10:26:34.627443231
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.635135538
2025-11-07 10:26:34.596674,-38,2025-11-07 10:26:34.642827846
2025-11-07 10:26:34.596674,-8193,2025-11-07 10:26:34.650520154
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.658212462
2025-11-07 10:26:34.596674,-19,2025-11-07 10:26:34.665904769
2025-11-07 10:26:34.596674,-1537,2025-11-07 10:26:34.673597077
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.681289385
2025-11-07 10:26:34.596674,-7,2025-11-07 10:26:34.688981692
2025-11-07 10:26:34.596674,-3841,2025-11-07 10:26:34.696674000
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.704366308
2025-11-07 10:26:34.596674,-7,2025-11-07 10:26:34.712058615
2025-11-07 10:26:34.596674,28671,2025-11-07 10:26:34.719750923
2025-11-07 10:26:34.596674,0,2025-11-07 10:26:34.727443231
2025-11-07 10:26:34.596674,452,2025-11-07 10:26:34.735135538
2025-11-07 10:26:34.596674,-19200,2025-11-07 10:26:34.742827846
2025-11-07 10:26:34.596674,3,2025-11-07 10:26:34.750520154
2025-11-07 10:26:34.596674,1225,2025-11-07 10:26:34.758212462
2025-11-07 10:26:34.596674,7680,2025-11-07 10:26:34.765904769
2025-11-07 10:26:34.596674,3,2025-11-07 10:26:34.773597077
2025-11-07 10:26:34.596674,-19,2025-11-07 10:26:34.781289385
2025-11-07 10:26:34.596674,-2817,2025-11-07 10:26:34.788981692
2025-11-07 10:26:34.596674,-2,2025-11-07 10:26:34.796674000
2025-11-07 10:26:34.596674,-43,2025-11-07 10:26:34.804366308
2025-11-07 10:26:34.596674,-12545,2025-11-07 10:26:34.812058615
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.819750923
2025-11-07 10:26:34.596674,-159,2025-11-07 10:26:34.827443231
2025-11-07 10:26:34.596674,-28161,2025-11-07 10:26:34.835135538
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.842827846
2025-11-07 10:26:34.596674,-87,2025-11-07 10:26:34.850520154
2025-11-07 10:26:34.596674,-29953,2025-11-07 10:26:34.858212462
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.865904769
2025-11-07 10:26:34.596674,-104,2025-11-07 10:26:34.873597077
2025-11-07 10:26:34.596674,-19969,2025-11-07 10:26:34.881289385
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.888981692
2025-11-07 10:26:34.596674,-87,2025-11-07 10:26:34.896674000
2025-11-07 10:26:34.596674,-20737,2025-11-07 10:26:34.904366308
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.912058615
2025-11-07 10:26:34.596674,-67,2025-11-07 10:26:34.919750923
2025-11-07 10:26:34.596674,-15617,2025-11-07 10:26:34.927443231
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.935135538
2025-11-07 10:26:34.596674,-58,2025-11-07 10:26:34.942827846
2025-11-07 10:26:34.596674,-10241,2025-11-07 10:26:34.950520154
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.958212462
2025-11-07 10:26:34.596674,-29,2025-11-07 10:26:34.965904769
2025-11-07 10:26:34.596674,-6401,2025-11-07 10:26:34.973597077
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:34.981289385
2025-11-07 10:26:34.596674,-16,2025-11-07 10:26:34.988981692
2025-11-07 10:26:34.596674,-769,2025-11-07 10:26:34.996674000
2025-11-07 10:26:34.596674,-1,2025-11-07 10:26:35.004366308
2025-11-07 10:26:34.596674,7,2025-11-07 10:26:35.012058615
2025-11-07 10:26:34.596674,4864,2025-11-07 10:26:35.019750923
2025-11-07 10:26:34.596674,0,2025-11-07 10:26:35.027443231
2025-11-07 10:26:34.596674,31,2025-11-07 10:26:35.035135538
2025-11-07 10:26:34.596674,11776,2025-11-07 10:26:35.042827846
2025-11-07 10:26:34.596674,0,2025-11-07 10:26:35.050520154
2025-11-07 10:26:34.596674,62,2025-11-07 10:26:35.058212462
2025-11-07 10:26:34.596674,17152,2025-11-07 10:26:35.065904769
2025-11-07 10:26:34.596674,0,2025-11-07 10:26:35.073597077
2025-11-07 10:26:34.596674,75,2025-11-07 10:26:35.081289385
2025-11-07 10:26:34.596674,20992,2025-11-07 10:26:35.088981692
2025-11-07 10:26:34.596674,0,2025-11-07 10:26:35.096674000
2025-11-07 10:26:34.596674,75,2025-11-07 10:26:35.104366308
2025-11-07 10:26:34.596674,15872,2025-11-07 10:26:35.112058615
2025-11-07 10:26:34.596674,0,2025-11-07 10:26:35.119750923
2025-11-07 10:26:34.596674,55,2025-11-07 10:26:35.127443230
2025-11-07 10:26:34.596674,12800,2025-11-07 10:26:35.135135538
2025-11-07 10:26:34.596674,0,2025-11-07 10:26:35.142827846
2025-11-07 10:26:34.596674,24,2025-11-07 10:26:35.150520154
